Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
198427562,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","5306.02","5306.02","PESOS MEXICANOS","ANUAL"
198427563,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46315.5","46315.5","PESOS MEXICANOS","ANUAL"
198429091,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198429406,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","3380.91","3380.91","PESOS MEXICANOS","ANUAL"
198429407,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","12081.91","12081.91","PESOS MEXICANOS","ANUAL"
198426553,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","5317.47","5317.47","PESOS MEXICANOS","ANUAL"
198427390,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","17714.5","17714.5","PESOS MEXICANOS","ANUAL"
198429110,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","23011.56","23011.56","PESOS MEXICANOS","ANUAL"
198426940,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","63290.69","63290.69","PESOS MEXICANOS","ANUAL"
198428636,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","64915.98","64915.98","PESOS MEXICANOS","ANUAL"
198428922,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","94936.04","94936.04","PESOS MEXICANOS","ANUAL"
198431143,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","27652.91","27652.91","PESOS MEXICANOS","ANUAL"
198427601,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","92105.28","92105.28","PESOS MEXICANOS","ANUAL"
198429033,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","6576.22","6576.22","PESOS MEXICANOS","ANUAL"
198429034,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","72774.66","72774.66","PESOS MEXICANOS","ANUAL"
198431828,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","11677.4","11677.4","PESOS MEXICANOS","ANUAL"
198428083,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","74294.6","74294.6","PESOS MEXICANOS","ANUAL"
