Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
52580043,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580100,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580101,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580102,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580103,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580160,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580161,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580162,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580163,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580220,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580221,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580222,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580223,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580284,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580285,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580286,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580287,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580406,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580407,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580408,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580409,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580410,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580411,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580412,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580413,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580418,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580419,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580420,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580421,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580426,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580427,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580428,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52580429,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579864,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579865,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579866,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579867,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579924,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579925,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579926,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579927,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579984,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
52579985,"17/07/22","17/07/22","NO APLICA EN ESTE PERIODO","0","0","PESO","2DA QUINCENA DE JULIO Y DICIEMBRE"
