Información relacionada a:,Percepciones adicionales en dinero, Monto bruto y neto, tipo de moneda y su periodicidad 
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO","TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO","PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO"
52580408,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580409,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580410,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580411,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580412,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580413,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580418,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580419,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580420,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580421,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580426,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580427,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580428,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580429,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579864,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579865,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579866,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579867,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579924,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579925,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579926,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579927,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579984,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
