Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
52580407,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580408,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580409,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580410,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580411,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580412,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580413,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580418,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580419,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580420,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580421,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580426,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580427,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580428,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580429,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579864,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579865,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579866,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579867,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579924,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579925,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579926,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579927,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579984,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579985,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579986,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579987,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580044,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580045,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580046,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580047,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580104,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580105,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580106,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580107,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580164,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580165,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580166,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580167,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580224,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580225,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580226,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580227,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580288,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580289,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580290,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580291,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580310,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580311,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580312,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580313,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580314,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580315,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580316,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580317,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580434,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580435,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580436,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580437,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580438,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580439,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580440,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580441,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580446,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580447,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580448,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580449,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580454,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580455,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580456,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580457,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580462,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580463,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580464,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579868,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579869,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579870,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579871,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579928,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579929,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579930,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579931,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579988,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579989,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579990,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579991,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580048,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580049,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580050,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580051,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580108,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580109,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580110,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580111,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580168,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580169,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580170,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580171,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580228,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580229,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580230,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580231,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580292,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580293,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580294,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580295,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580318,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580319,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580320,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580321,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580322,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580323,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580324,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580325,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580326,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580327,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580328,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580329,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580465,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580466,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580467,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580468,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580469,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580470,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580471,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580472,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580473,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580474,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580475,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580476,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580477,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580478,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580479,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580480,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580481,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580482,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580483,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580484,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579872,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579873,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579874,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579875,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579932,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579933,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579934,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579935,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579992,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579993,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579994,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579995,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580052,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580053,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580054,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580055,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580112,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580113,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580114,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580115,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580172,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580173,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580174,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580175,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580232,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580233,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580234,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
