Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
112885780,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885781,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885782,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885783,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885784,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885785,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885786,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885787,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885788,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885789,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885790,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885791,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885792,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885793,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885794,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885795,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885796,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885797,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885798,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885799,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885800,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885801,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885802,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885760,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885761,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885762,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885763,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885764,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
