Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
52173221,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173222,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173223,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173224,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173225,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173226,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172323,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172324,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172325,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172326,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172327,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172328,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172419,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172420,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172421,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172422,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172423,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172424,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172515,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172516,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172517,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172518,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172519,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172520,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
