Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
1591690311,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690312,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690313,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690314,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690390,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690391,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690392,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690393,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690394,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690470,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690471,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690472,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690473,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690474,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690550,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690551,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690552,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690553,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690554,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690630,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690631,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690632,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690633,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690634,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690710,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690711,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690712,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690713,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690714,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690791,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690792,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690793,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690794,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690795,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690871,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690872,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690873,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690874,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690875,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690951,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690952,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690953,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690954,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591690955,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691031,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691032,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691033,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691034,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691035,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691111,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691112,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691113,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691114,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691115,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691191,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691192,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691193,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691194,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691195,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691270,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691271,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691272,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691273,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691274,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691350,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691351,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691352,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691353,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691354,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691430,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691431,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691432,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691433,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691434,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691509,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691510,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691511,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691512,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691513,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691589,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691590,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691591,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691592,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691593,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691669,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
1591691670,"25/07/22","25/07/22","PRESTACIONES ECONOMICAS","0","0","PESOS","ANUAL"
