Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
1583468930,"13/07/22","13/07/22","Compensación por antigüedad","5180.91","","MN","MENSUAL"
1583468973,"13/07/22","13/07/22","Compensación por antigüedad","5149.08","","MN","MENSUAL"
1583468974,"13/07/22","13/07/22","Compensación por antigüedad","14908.06","","MN","MENSUAL"
1583469074,"13/07/22","13/07/22","Compensación por antigüedad","4149.44","","MN","MENSUAL"
1583469075,"13/07/22","13/07/22","Compensación por antigüedad","15385","","MN","MENSUAL"
1583469076,"13/07/22","13/07/22","Compensación por antigüedad","6634.44","","MN","MENSUAL"
1583469124,"13/07/22","13/07/22","Compensación por antigüedad","3894.94","","MN","MENSUAL"
1583469125,"13/07/22","13/07/22","Compensación por antigüedad","3150.02","","MN","MENSUAL"
1583469126,"13/07/22","13/07/22","Compensación por antigüedad","10137.48","","MN","MENSUAL"
1583469171,"13/07/22","13/07/22","Compensación por antigüedad","5149.08","","MN","MENSUAL"
1583469172,"13/07/22","13/07/22","Compensación por antigüedad","3204.54","","MN","MENSUAL"
1583469173,"13/07/22","13/07/22","Compensación por antigüedad","1253.72","","MN","MENSUAL"
1583469214,"13/07/22","13/07/22","Compensación por antigüedad","11330.12","","MN","MENSUAL"
1583469215,"13/07/22","13/07/22","Compensación por antigüedad","12671.86","","MN","MENSUAL"
1583469216,"13/07/22","13/07/22","Compensación por antigüedad","17119.76","","MN","MENSUAL"
1583469313,"13/07/22","13/07/22","Compensación por antigüedad","12730.32","","MN","MENSUAL"
1583469314,"13/07/22","13/07/22","Compensación por antigüedad","7304.38","","MN","MENSUAL"
1583469315,"13/07/22","13/07/22","Compensación por antigüedad","9161.26","","MN","MENSUAL"
1583469357,"13/07/22","13/07/22","Compensación por antigüedad","3204.54","","MN","MENSUAL"
1583469358,"13/07/22","13/07/22","Compensación por antigüedad","11926.44","","MN","MENSUAL"
1583469403,"13/07/22","13/07/22","Compensación por antigüedad","3392.34","","MN","MENSUAL"
1583469404,"13/07/22","13/07/22","Compensación por antigüedad","2323.66","","MN","MENSUAL"
1583469405,"13/07/22","13/07/22","Compensación por antigüedad","4838.23","","MN","MENSUAL"
1583469453,"13/07/22","13/07/22","Compensación por antigüedad","13009.78","","MN","MENSUAL"
1583469455,"13/07/22","13/07/22","Compensación por antigüedad","3679.14","","MN","MENSUAL"
1583469503,"13/07/22","13/07/22","Compensación por antigüedad","6574.92","","MN","MENSUAL"
1583469504,"13/07/22","13/07/22","Compensación por antigüedad","4339.54","","MN","MENSUAL"
1583469584,"13/07/22","13/07/22","Compensación por antigüedad","1295.16","","MN","MENSUAL"
1583469585,"13/07/22","13/07/22","Compensación por antigüedad","11457.28","","MN","MENSUAL"
1583469586,"13/07/22","13/07/22","Compensación por antigüedad","10733.8","","MN","MENSUAL"
1583469636,"13/07/22","13/07/22","Compensación por antigüedad","12325.06","","MN","MENSUAL"
1583469727,"13/07/22","13/07/22","Compensación por antigüedad","3098.22","","MN","MENSUAL"
1583469728,"13/07/22","13/07/22","Compensación por antigüedad","7629.8","","MN","MENSUAL"
1583469776,"13/07/22","13/07/22","Compensación por antigüedad","12840.24","","MN","MENSUAL"
1583469777,"13/07/22","13/07/22","Compensación por antigüedad","7638.18","","MN","MENSUAL"
1583469778,"13/07/22","13/07/22","Compensación por antigüedad","2198.44","","MN","MENSUAL"
1583467398,"13/07/22","13/07/22","Compensación por antigüedad","7875.06","","MN","MENSUAL"
1583467399,"13/07/22","13/07/22","Compensación por antigüedad","7086.25","","MN","MENSUAL"
1583467400,"13/07/22","13/07/22","Compensación por antigüedad","7875.06","","MN","MENSUAL"
1583467441,"13/07/22","13/07/22","Compensación por antigüedad","16262.22","","MN","MENSUAL"
1583467442,"13/07/22","13/07/22","Compensación por antigüedad","11662.26","","MN","MENSUAL"
1583467443,"13/07/22","13/07/22","Compensación por antigüedad","5525.62","","MN","MENSUAL"
1583467541,"13/07/22","13/07/22","Compensación por antigüedad","6293.28","","MN","MENSUAL"
1583467542,"13/07/22","13/07/22","Compensación por antigüedad","27460.7","","MN","MENSUAL"
1583467543,"13/07/22","13/07/22","Compensación por antigüedad","13964.26","","MN","MENSUAL"
1583467584,"13/07/22","13/07/22","Compensación por antigüedad","7092.08","","MN","MENSUAL"
1583467585,"13/07/22","13/07/22","Compensación por antigüedad","13330.06","","MN","MENSUAL"
1583467586,"13/07/22","13/07/22","Compensación por antigüedad","19380.48","","MN","MENSUAL"
1583467631,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467632,"13/07/22","13/07/22","Compensación por antigüedad","21368.06","","MN","MENSUAL"
1583467633,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467678,"13/07/22","13/07/22","Compensación por antigüedad","4598.94","","MN","MENSUAL"
1583467679,"13/07/22","13/07/22","Compensación por antigüedad","7572.18","","MN","MENSUAL"
1583467680,"13/07/22","13/07/22","Compensación por antigüedad","19360.69","","MN","MENSUAL"
1583467721,"13/07/22","13/07/22","Compensación por antigüedad","8797.62","","MN","MENSUAL"
1583467722,"13/07/22","13/07/22","Compensación por antigüedad","12093.8","","MN","MENSUAL"
1583467723,"13/07/22","13/07/22","Compensación por antigüedad","17103.04","","MN","MENSUAL"
1583467764,"13/07/22","13/07/22","Compensación por antigüedad","18635.08","","MN","MENSUAL"
1583467765,"13/07/22","13/07/22","Compensación por antigüedad","26404.52","","MN","MENSUAL"
1583467766,"13/07/22","13/07/22","Compensación por antigüedad","7141.64","","MN","MENSUAL"
1583467808,"13/07/22","13/07/22","Compensación por antigüedad","1880.58","","MN","MENSUAL"
1583467809,"13/07/22","13/07/22","Compensación por antigüedad","19095.48","","MN","MENSUAL"
1583467810,"13/07/22","13/07/22","Compensación por antigüedad","19818.62","","MN","MENSUAL"
1583467857,"13/07/22","13/07/22","Compensación por antigüedad","8084.42","","MN","MENSUAL"
1583467858,"13/07/22","13/07/22","Compensación por antigüedad","5265.3","","MN","MENSUAL"
1583467859,"13/07/22","13/07/22","Compensación por antigüedad","7752.18","","MN","MENSUAL"
1583467950,"13/07/22","13/07/22","Compensación por antigüedad","7077.46","","MN","MENSUAL"
1583467951,"13/07/22","13/07/22","Compensación por antigüedad","17889.68","","MN","MENSUAL"
1583467952,"13/07/22","13/07/22","Compensación por antigüedad","5781.68","","MN","MENSUAL"
1583468000,"13/07/22","13/07/22","Compensación por antigüedad","4598.94","","MN","MENSUAL"
