Información relacionada a:,Percepciones adicionales en dinero, Monto bruto y neto, tipo de moneda y su periodicidad 
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO","TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO","PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO"
1583469163,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","30952.29","30952.29","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583469395,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","25993.73","25993.73","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583468559,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","28587.63","28587.63","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466579,"13/07/22","13/07/22","Reconocimiento de antigüedad académico","134909.46","134909.46","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466087,"13/07/22","13/07/22","Reconocimiento de antigüedad académico","134909.46","134909.46","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466250,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","56090.06","56090.06","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583467125,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","103795.52","103795.52","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466401,"13/07/22","13/07/22","Reconocimiento de antigüedad académico","134909.46","134909.46","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466448,"13/07/22","13/07/22","Reconocimiento de antigüedad académico","144892.77","144892.77","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
1583466548,"13/07/22","13/07/22","Reconocimiento por antigüedad administrativo","45670.52","45670.52","MN","La establecida en la cláusula 156 del Contrato Colectivo de Trabajo por reconocimiento por antigüedad y las establecidas en los procedimientos administrativos para Compensación por participación en convenios patrocinados, Honorarios asimilables a salarios."
