Información relacionada a:,Gratificaciones, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS GRATIFICACIONES","MONTO BRUTO DE LAS GRATIFICACIONES","MONTO NETO DE LAS GRATIFICACIONES","TIPO DE MONEDA DE LAS GRATIFICACIONES","PERIODICIDAD DE LAS GRATIFICACIONES"
51767911,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767833,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767763,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767690,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767612,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767541,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767466,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767392,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767272,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767198,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767120,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766958,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768372,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768353,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768335,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767974,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767905,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767757,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767684,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767611,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767386,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767338,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767266,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767192,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767114,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
