Información relacionada a:,Estímulos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS ESTÍMULOS","MONTO BRUTO DE LOS ESTÍMULOS","MONTO NETO DE LOS ESTÍMULOS","TIPO DE MONEDA DE LOS ESTÍMULOS","PERIODICIDAD DE LOS ESTÍMULOS"
51763060,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
51766340,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51766340,"18/08/22","18/08/22","Fondo Ahorro 5.00 % sobre Sueldo Base","","","PESOS MEXICANOS","QUINCENAL"
51765081,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51765081,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
51764575,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51764575,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
51764483,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51764483,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
51764303,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51764303,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
51762805,"18/08/22","18/08/22","Quinquenio: Reconocimiento por antigüedad calculado sobre Sueldo Base más Prima de antigüedad por cada año de servicio","","","PESOS MEXICANOS","QUINQUENAL"
51762805,"18/08/22","18/08/22","Fondo Ahorro","185","185","PESOS MEXICANOS","QUINCENAL"
